Name,Description,Country,URL,Depth,Latitude,Longitude,,
"White Eagles, Cavendish, PEI","This is a great shore dive spot located inside the PEI National Park in Cavendish. Access to the ocean is from a staircase across from the cottages. Rock bottom with lots of sealife including lobster, flounder, ocean perch, even the occasional eel and wi",CAN,,,46.500404,-63.371597,,
White Star Quarry,Diving at White Star Quarry is considered to be the best inland diving that Northern Ohio has to offer,USA,,,41.371204,-83.31845,,
Whitefish Lake: Amelia Bay,,CAN,http://www.scubapedia.ca/index.php/Lac_Poisson_Blanc:_Baie_d%27Amelia,,45.9712,-75.7156,,
Whiteswan Lake,Ever wanted to see what a flooded town looks like? Now is your chance. Explore the remnants of a flooded town that didn’t fare so well during the building of two nearby dams. Plenty of creative structures to check out as well.,CAN,,,50.141434,-115.480205,,
Whiteswan Lakes,The Diving Center uses this lake for training dives. Contact them for the exact location to enter water. The visibility in the lake can be as good as fifty feet in the summer. White Swan Lake offers an excellent dive site; some of the unique things to se,CAN,,,54.039886,-105.148544,,
Whytecliff Park - The Cut,,CAN,,,49.3723,-123.29278,,
Whytecliff Park Parking,,CAN,,,49.372503,-123.290672,,
Wiarton fish hatchery,,CAN,,,44.753702,-81.13717,,
Willis Point,"Steamer Drive, Brentwood Bay British Columbia - then look for the fire lane as you are driving along. Its beside a black iron fence.",CAN,,<130 ft,48.57525,-123.47855,,
Windmill Point Park,campground with quarry,CAN,,,42.881385,-79.003553,,
Windmill site,,CAN,,,44.720935,-75.486634,,
Winslow,Shallow scatered wreckage. Enter water at the Net Shed Museum and swim east to wreckage. ,CAN,,,45.926884,-83.114038,,
Woodlands,,CAN,,,49.341818,-122.920747,,
Woodlands Beach,,CAN,,,44.991831,-74.947271,,
Worth Avenue Breakers,,,https://opendivesites.org/Worth_Avenue_Breakers,,26.700737,-80.032757,,
Wreck Cove (McNabs),,CAN,,,44.605807,-63.509871,,
Wreck Cove (Prospect),"Shallow dive to alleged wreck in mouth of bay. Beach entry. Shallow dive, lots of life.",CAN,,,44.457187,-63.722066,,
Wreck e,Navionics puts a wreck here,CAN,,,47.399682,-52.705982,,
Zealandia Wreck-Grand Narrows,"Divers unfamiliar with the site should travel with a guide due to potential strong currents, depth, boat traffic, fish that like to nip at unwary divers, and the maze of underwater structures.<br><br>The",CAN,,<70 ft,45.958883,-60.797383,,
Zephyr Cove,,USA,https://opendivesites.org/Zephyr_Cove,,39.004841,-119.95007,,
,,,,,33.590236,-117.869549,,
,,CAN,,,43.7276,-79.212827,,
,,USA,https://opendivesites.org/Otter_Cove,,36.632533,-121.92274,,
,,,,,32.856029,-117.258565,,
